is_id,is_name,is_description
100006270,Access Control,Access Control
100006275,Active Directory (AD),Active Directory (Microsoft) a base for SSO aGroup. Global directory for user, server, client...
100006277,adiBank,EDI banking
100006280,adiCLUB (ReeCLUB),CRM for adidas&Reebok
100006294,adiRace ERP (aERP),Local market ERP system (still used in 10 countries)
100006299,ADP - Global View,Payroll system
100006300,ADP Access Control,Payrol System
100006314,AP workflow (APWF),A standardized and system based process to handle E2E vendor payment...
100006316,Apparel & Footwear Solution (SAP AFS),Global central ERP system, Current production version is SAP ERP 6.0 with enhancement package...
100006397,a-Live,Corporate Intranet build on SharePoint technology and owned by Corporate Communications. 
100006441,Customer Relationship Management (SAP CRM),Global Wholesale SAP CRM System incl. customer interaction center, customer segmentation...
100007422,CoStar,https://www.costarmanager.com/ Current capability requirements: Corporate and Retail Lease Management Lease abstraction...
100008289,aChina CRM(Dynamic solution),adi-CLUB member management system in aChina
